Friday,21,March,2025,15:18:41:10918-VCID:2F3CCDF65B1FE61226D-807B,VCDS Version: Release 25.3.0 (arm64),Data version: 20250311 DS365.0,,,,,,,,,
03L 997 030 D,,R4 2.0l TDI G000SG  9983,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Group A:,001,,,,Group B:,011,,,,Group C:,015,,,
,,Engine Speed,Injection Quantity,High Fuel Pressure,Coolant,,Engine Speed,Boost Pressure,Boost Pressure,Charge Pressure,,Engine Speed,Engine Torque,Fuel Consumption,Torque Request
,TIME,(G28),,(actual),Temperature (G62),TIME,(G28),(specified),(actual),Control Duty Cycle,TIME,(G28),(actual),,(Driver)
Marker,STAMP,/min,mg/str,bar,蚓,STAMP,rpm,specified boost mbar,actual boost mbar,%,STAMP,/min,Nm,l/h,Nm
,0.13,920,7.4,344,29.7,0.26,920,1016.4,1028.5,100,0,943,36,0.84,0
,0.53,920,6.6,328,29.7,0.65,920,1016.4,1016.4,100,0.4,920,36,0.84,0
,0.9,920,7.7,328,29.7,1.03,920,1016.4,1004.3,100,0.77,920,39,0.84,0
,1.31,897,6,328,29.7,1.44,874,1004.3,1004.3,100,1.18,920,42,0.63,0
,1.69,851,7.1,328,29.7,1.82,851,1004.3,1004.3,100,1.56,874,33,0.84,0
,2.08,851,8,336,29.7,2.21,989,1089,992.2,100,1.95,851,42,0.84,0
,2.47,897,14.3,344,29.7,2.6,1081,1064.8,992.2,100,2.34,1058,0,0,0
,2.86,1173,9.9,400,29.7,2.99,1173,1076.9,1004.3,100,2.74,1173,60,1.47,54
,3.24,1196,15.1,480,29.7,3.37,1196,1089,1028.5,99.6,3.11,1196,87,2.31,84
,3.64,1173,16.2,520,29.7,3.77,1173,1113.2,1052.7,100,3.5,1196,96,2.52,90
,4.04,1150,15.6,520,29.7,4.16,1104,1064.8,1064.8,100,3.9,1173,105,2.73,102
,4.42,966,1.4,336,29.7,4.55,851,1004.3,1064.8,100,4.29,1081,36,0.84,30
,4.8,828,8.2,344,29.7,4.93,851,1004.3,1028.5,100,4.68,805,48,0.84,0
,5.2,897,7.1,336,29.7,5.32,920,1004.3,1016.4,100,5.06,874,39,0.84,0
,5.58,920,6.9,328,29.7,5.71,920,1004.3,1004.3,100,5.45,920,42,0.63,0
,5.97,920,7.7,328,29.7,6.09,920,1004.3,1004.3,100,5.84,920,39,0.84,0
,6.33,920,6.9,328,29.7,6.46,920,1016.4,992.2,100,6.21,920,36,0.84,0
,6.72,920,6.9,328,29.7,6.86,897,1016.4,992.2,100,6.59,920,39,0.84,0
,7.13,920,7.4,328,30.6,7.26,920,1016.4,992.2,100,7,920,42,0.84,0
,7.53,920,7.4,336,30.6,7.65,920,1016.4,992.2,100,7.39,897,42,0.84,0
,7.91,920,7.7,328,30.6,8.04,897,1016.4,992.2,100,7.78,897,42,0.84,0
,8.29,920,7.7,328,30.6,8.42,920,1016.4,992.2,100,8.16,920,42,0.84,0
,8.68,920,8,336,30.6,8.8,897,1016.4,992.2,100,8.55,920,42,0.84,0
,9.06,920,7.7,336,30.6,9.2,920,1016.4,992.2,100,8.93,897,42,1.05,0
,9.46,989,7.7,328,30.6,9.59,989,1064.8,992.2,100,9.33,1081,69,1.68,87
,9.84,1104,13.5,416,30.6,9.97,1104,1089,1004.3,100,9.72,1058,84,1.89,66
,10.23,1150,17,496,30.6,10.36,1127,1113.2,1016.4,100,10.1,1150,102,2.52,90
,10.63,1127,21.4,584,30.6,10.76,1173,1197.9,1052.7,100,10.49,1127,117,2.94,102
,11.02,1242,23.6,680,30.6,11.15,1380,1331,1076.9,95.7,10.89,1196,138,3.57,132
,11.4,1495,21.7,824,30.6,11.53,1587,1258.4,1125.3,94.5,11.28,1426,150,4.62,144
,11.77,1702,19.5,944,30.6,11.9,1771,1331,1210,92.2,11.65,1656,129,4.62,123
,12.15,1909,22.5,1304,30.6,12.28,2001,1500.4,1318.9,89.8,12.02,1840,138,5.46,147
,12.57,2162,24.2,1376,30.6,12.7,2277,1548.8,1476.2,71.8,12.41,2070,156,6.93,159
,12.96,2461,23.6,1400,30.6,13.09,2530,1500.4,1573,56.5,12.83,2369,153,7.98,153
,13.35,2645,14.8,1136,30.6,13.48,2553,1089,1488.3,93.3,13.22,2599,120,7.14,114
,13.75,2093,0.5,464,30.6,13.86,1863,1016.4,1331,98.4,13.61,2369,6,0.42,0
,14.12,1495,9.1,472,30.6,14.25,1403,1040.6,1246.3,78,13.99,1610,12,0.42,21
,14.5,1403,7.7,440,30.6,14.63,1426,1052.7,1161.6,98,14.39,1403,42,1.26,45
,14.9,1426,8.2,488,31.5,15.03,1426,1004.3,1149.5,98.8,14.77,1426,51,1.47,45
