Tuesday,18,March,2025,11:51:40:10918-VCID:59E8532E700BD8A2A89-4A5F,VCDS Version: Release 25.3.0 (arm64),Data version: 20250311 DS365.0
028 906 021 BK,,1.9l R4 EDC SG      D5O,

,Group A:,'003,,,,Group B:,'001,,,,Group C:,'011
,,Engine speed,MAF (specified),MAF (actual),EGR duty cycle,,Engine speed,Injection Quantity,Mod. Piston Displ.,Coolant Temp.,,Engine speed,Specified MAP,Actual MAP,Duty cycle
,TIME,861-945,240-340,240-340,4-84,TIME,861-945,3-9,1.35-2.10,80-110,TIME,,,,Boost Valvle
Marker,STAMP, /min, mg/str, mg/str, %,STAMP, /min, mg/str, V,°C,STAMP, /min, mbar, mbar, %
,0.01,1050,375.7,285.9,59.0,0.52,1071,17.4,2.120,88.2,1.04,1113,1224.0,1071.0,35.2
,1.55,1155,847.9,468.8,4.7,2.07,1197,27.8,2.520,88.2,2.59,1239,1458.6,1162.8,35.2
,3.11,1302,847.9,505.4,4.7,3.63,1323,28.0,2.600,88.2,4.15,1386,1652.4,1224.0,35.2
,4.67,1470,847.9,601.8,4.7,5.19,1533,31.6,2.720,88.2,5.70,1596,1795.2,1346.4,35.2
,6.22,1659,847.9,661.7,4.7,6.74,1722,33.2,2.940,88.2,7.26,1764,1876.8,1479.0,35.2
,7.78,1827,847.9,698.2,4.7,8.30,1890,32.8,3.120,88.2,8.82,1974,1907.4,1550.4,35.2
,9.34,2037,847.9,698.2,4.7,9.85,2079,33.4,3.260,90.0,10.37,2184,1907.4,1611.6,35.2
,10.89,2226,847.9,738.2,4.7,11.41,2289,33.4,3.280,90.0,11.93,2352,1897.2,1652.4,35.2
,12.45,2394,847.9,734.8,4.7,12.97,2478,33.4,3.400,90.0,13.49,2541,1887.0,1662.6,35.2
,14.00,2604,847.9,714.9,4.7,14.52,2646,33.2,3.400,90.0,15.04,2709,1876.8,1662.6,35.2
,15.56,2751,847.9,698.2,4.7,16.07,2814,33.2,3.420,90.0,16.60,2877,1876.8,1672.8,35.2
,17.12,2919,847.9,688.3,4.7,17.64,2961,32.8,3.560,90.0,18.15,3024,1876.8,1662.6,35.2
,18.67,3066,847.9,671.7,4.7,19.19,3108,32.4,3.480,90.0,19.71,3171,1866.6,1642.2,35.2
,20.23,3213,847.9,678.3,4.7,20.75,3276,32.8,3.620,90.0,21.27,3339,1866.6,1662.6,35.2
,21.79,3381,847.9,678.3,4.7,22.30,3444,33.0,3.680,90.0,22.82,3486,1866.6,1642.2,35.2
,23.34,3549,847.9,658.4,4.7,23.86,3612,32.8,3.820,90.0,24.38,3654,1856.4,1632.0,35.2
,24.90,3717,847.9,658.4,4.7,25.42,3759,33.2,3.900,90.0,25.94,3780,1846.2,1652.4,35.2
,26.46,3696,847.9,502.1,4.7,26.98,3528,0.0,0.800,90.0,27.50,3297,1326.0,1254.6,73.8
